finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
1800,Technology,Alan Trefler,67,United States,Brookline,Software,Technology,United States,,True,M,Massachusetts
1800,Finance & Investments,Riaz Valani,46,United States,Malibu,E-cigarettes,Finance & Investments,United States,,True,M,California
1800,Technology,Pieter van der Does,53,Netherlands,Amsterdam,Payments software,Technology,Netherlands,,True,M,
1800,Manufacturing,Martin Viessmann,69,Germany,Allendorf,Heating and cooling equipment,Manufacturing,Germany,,False,M,
1800,Technology,Nikil Viswanathan,35,United States,San Francisco,Blockchain technology,Technology,United States,,True,M,California
1800,Media & Entertainment,Todd Wagner,62,United States,Dallas,Online media,Media & Entertainment,United States,,True,M,Texas
1800,Technology,Evan Williams,51,United States,San Francisco,Twitter,Technology,United States,Twitter,True,M,California
1800,Metals & Mining,Kie Chie Wong,75,Australia,Sydney,Investments,Metals & Mining,Malaysia,,False,M,
1800,Finance & Investments,Thomas Wu,72,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,,False,M,
1800,Energy,Wu Yingming,56,China,Ningde,Batteries,Energy,China,,True,M,
1800,Healthcare,Amy Wyss,52,United States,Wilson,Medical equipment,Healthcare,United States,,False,F,Wyoming
1800,Real Estate,Yan Zhi,50,China,Wuhan,Real estate,Real Estate,China,,True,M,
1800,Fashion & Retail,Yoshiaki Yoshida,82,Japan,,cosmetics,Fashion & Retail,Japan,,True,M,
1800,Manufacturing,Alan Zekelman,60,United States,Bloomfield Hills,Steel,Manufacturing,Canada,,False,M,Michigan
1800,Real Estate,Zhang Li,70,China,Guangzhou,Real estate,Real Estate,China,,True,M,
1700,Sports,Amy Adams Strunk,67,United States,Nashville,Tennessee Titans,Sports,United States,Tennessee Titans,False,F,Tennessee
1700,Finance & Investments,Marc Andreessen,51,United States,Atherton,Venture capital investing,Finance & Investments,United States,Andreessen Horowitz,True,M,California
1700,Metals & Mining,Giovanni Arvedi,85,Italy,Cremona,Steel,Metals & Mining,Italy,,True,M,
1700,Real Estate,Lesley Bamberger,57,Netherlands,Amsterdam,Real estate,Real Estate,Netherlands,,False,M,
1700,Media & Entertainment,Bang Si-hyuk,50,South Korea,Seoul,Entertainment,Media & Entertainment,South Korea,,True,M,
